Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-11-15,Almeria,Ponferradina,1,1,D,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-11-21,Ath Bilbao B,Almeria,0,0,D,2.15,3.2,3.5,2015,,,,,,,,,,,,,,,
2015-11-21,Elche,Alaves,0,1,A,2.38,3.1,3.1,2015,,,,,,,,,,,,,,,
2015-11-21,Huesca,Oviedo,0,1,A,2.3,3.1,3.25,2015,,,,,,,,,,,,,,,
2015-11-21,Mallorca,Lugo,1,1,D,2.15,3.1,3.6,2015,,,,,,,,,,,,,,,
2015-11-21,Numancia,Mirandes,2,2,D,2.05,3.1,4.0,2015,,,,,,,,,,,,,,,
2015-11-22,Tenerife,Cordoba,1,1,D,2.15,3.25,3.4,2015,,,,,,,,,,,,,,,
2015-11-22,Ponferradina,Leganes,1,0,H,2.5,3.0,3.0,2015,,,,,,,,,,,,,,,
2015-11-22,Valladolid,Osasuna,0,1,A,2.1,3.1,3.75,2015,,,,,,,,,,,,,,,
2015-11-22,Gimnastic,Llagostera,2,0,H,1.73,3.4,5.25,2015,,,,,,,,,,,,,,,
2015-11-22,Alcorcon,Zaragoza,1,0,H,2.1,3.1,3.75,2015,,,,,,,,,,,,,,,
2015-11-22,Girona,Albacete,3,0,H,1.85,3.3,4.5,2015,,,,,,,,,,,,,,,
2015-11-28,Alaves,Mallorca,1,0,H,1.83,3.4,4.5,2015,,,,,,,,,,,,,,,
2015-11-28,Almeria,Numancia,1,1,D,2.3,3.3,3.1,2015,,,,,,,,,,,,,,,
2015-11-28,Leganes,Ath Bilbao B,1,0,H,1.8,3.5,4.5,2015,,,,,,,,,,,,,,,
2015-11-28,Llagostera,Huesca,2,0,H,2.75,3.0,2.75,2015,,,,,,,,,,,,,,,
2015-11-28,Osasuna,Alcorcon,1,2,A,2.15,3.3,3.4,2015,,,,,,,,,,,,,,,
2015-11-29,Zaragoza,Ponferradina,2,0,H,1.91,3.4,4.0,2015,,,,,,,,,,,,,,,
2015-11-29,Albacete,Elche,1,0,H,2.05,3.3,3.6,2015,,,,,,,,,,,,,,,
2015-11-29,Cordoba,Oviedo,2,1,H,2.25,3.1,3.4,2015,,,,,,,,,,,,,,,
2015-11-29,Lugo,Valladolid,1,1,D,2.25,3.4,3.1,2015,,,,,,,,,,,,,,,
2015-11-29,Mirandes,Gimnastic,0,1,A,2.15,3.1,3.6,2015,,,,,,,,,,,,,,,
2015-11-29,Tenerife,Girona,1,1,D,2.63,3.1,2.75,2015,,,,,,,,,,,,,,,
2015-12-05,Gimnastic,Almeria,2,2,D,1.95,3.1,4.33,2015,,,,,,,,,,,,,,,
