Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-10-31,Heidenheim,Union Berlin,0,2,A,2.1,3.4,3.4,2015,,,,,,,,,,,,,,,
2015-11-01,Sandhausen,RB Leipzig,1,2,A,4.5,3.5,1.8,2015,,,,,,,,,,,,,,,
2015-11-01,Munich 1860,Duisburg,1,0,H,1.8,3.5,4.5,2015,,,,,,,,,,,,,,,
2015-11-01,Freiburg,Braunschweig,2,2,D,1.83,3.5,4.33,2015,,,,,,,,,,,,,,,
2015-11-02,Nurnberg,Karlsruhe,0,0,D,2.2,3.3,3.25,2015,,,,,,,,,,,,,,,
2015-11-06,Frankfurt FSV,Sandhausen,0,1,A,2.9,3.1,2.5,2015,,,,,,,,,,,,,,,
2015-11-06,Greuther Furth,Bielefeld,0,0,D,2.4,3.3,2.9,2015,,,,,,,,,,,,,,,
2015-11-06,Karlsruhe,Bochum,3,0,H,2.6,3.2,2.75,2015,,,,,,,,,,,,,,,
2015-11-07,Duisburg,Freiburg,1,1,D,4.5,3.75,1.73,2015,,,,,,,,,,,,,,,
2015-11-07,Union Berlin,Nurnberg,3,3,D,2.38,3.4,2.88,2015,,,,,,,,,,,,,,,
2015-11-08,RB Leipzig,Kaiserslautern,0,2,A,1.73,3.6,4.75,2015,,,,,,,,,,,,,,,
2015-11-08,Paderborn,Heidenheim,1,1,D,2.25,3.3,3.2,2015,,,,,,,,,,,,,,,
2015-11-08,Braunschweig,Munich 1860,0,0,D,2.0,3.4,3.75,2015,,,,,,,,,,,,,,,
2015-11-09,St Pauli,Fortuna Dusseldorf,4,0,H,2.25,3.25,3.25,2015,,,,,,,,,,,,,,,
2015-11-20,Bochum,Union Berlin,1,1,D,1.85,3.8,3.8,2015,,,,,,,,,,,,,,,
2015-11-20,Fortuna Dusseldorf,Duisburg,1,1,D,1.83,3.4,4.5,2015,,,,,,,,,,,,,,,
2015-11-20,Sandhausen,Karlsruhe,3,1,H,2.9,3.2,2.45,2015,,,,,,,,,,,,,,,
2015-11-21,Bielefeld,RB Leipzig,0,1,A,3.5,3.3,2.1,2015,,,,,,,,,,,,,,,
2015-11-21,Munich 1860,St Pauli,2,0,H,2.7,3.4,2.5,2015,,,,,,,,,,,,,,,
2015-11-22,Heidenheim,Greuther Furth,1,2,A,2.3,3.4,3.0,2015,,,,,,,,,,,,,,,
2015-11-22,Kaiserslautern,Frankfurt FSV,1,1,D,1.57,4.2,5.25,2015,,,,,,,,,,,,,,,
2015-11-22,Freiburg,Paderborn,4,1,H,1.8,3.3,4.75,2015,,,,,,,,,,,,,,,
2015-11-23,Nurnberg,Braunschweig,2,1,H,1.95,3.4,3.8,2015,,,,,,,,,,,,,,,
2015-11-27,Braunschweig,Bochum,1,0,H,2.4,3.3,2.88,2015,,,,,,,,,,,,,,,
2015-11-27,Greuther Furth,Kaiserslautern,2,4,A,2.4,3.2,3.0,2015,,,,,,,,,,,,,,,
2015-11-27,Heidenheim,Freiburg,1,2,A,3.6,3.2,2.1,2015,,,,,,,,,,,,,,,
