Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Season,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA
2015-10-31,Livorno,Trapani,2,0,H,1.85,3.4,4.33,2015,,,,,,,,,,,,,,,
2015-10-31,Cesena,Virtus Lanciano,2,0,H,1.7,3.4,5.5,2015,,,,,,,,,,,,,,,
2015-10-31,Brescia,Latina,1,0,H,2.2,3.0,3.6,2015,,,,,,,,,,,,,,,
2015-10-31,Bari,Novara,1,1,D,2.3,3.1,3.2,2015,,,,,,,,,,,,,,,
2015-10-31,Ascoli,Pro Vercelli,0,1,A,2.15,3.2,3.5,2015,,,,,,,,,,,,,,,
2015-11-01,Spezia,Virtus Entella,0,0,D,1.62,3.6,6.0,2015,,,,,,,,,,,,,,,
2015-11-02,Cagliari,Vicenza,2,0,H,1.6,3.6,6.0,2015,,,,,,,,,,,,,,,
2015-11-03,Novara,Pescara,1,0,H,2.3,3.1,3.3,2015,,,,,,,,,,,,,,,
2015-11-06,Bari,Salernitana,2,1,H,1.8,3.25,5.0,2015,,,,,,,,,,,,,,,
2015-11-07,Virtus Entella,Como,2,2,D,2.05,3.1,4.0,2015,,,,,,,,,,,,,,,
2015-11-07,Vicenza,Ascoli,3,0,H,1.8,3.25,5.0,2015,,,,,,,,,,,,,,,
2015-11-07,Trapani,Spezia,5,1,H,3.2,3.0,2.38,2015,,,,,,,,,,,,,,,
2015-11-07,Pro Vercelli,Livorno,1,0,H,3.25,3.0,2.38,2015,,,,,,,,,,,,,,,
2015-11-07,Pescara,Ternana,1,2,A,1.73,3.4,5.25,2015,,,,,,,,,,,,,,,
2015-11-07,Novara,Brescia,4,0,H,1.91,3.2,4.33,2015,,,,,,,,,,,,,,,
2015-11-07,Latina,Cesena,1,0,H,2.75,3.0,2.75,2015,,,,,,,,,,,,,,,
2015-11-07,Cagliari,Modena,2,1,H,1.55,3.6,7.0,2015,,,,,,,,,,,,,,,
2015-11-08,Perugia,Virtus Lanciano,2,0,H,1.83,3.25,4.75,2015,,,,,,,,,,,,,,,
2015-11-09,Crotone,Avellino,3,1,H,2.25,3.2,3.25,2015,,,,,,,,,,,,,,,
2015-11-14,Livorno,Vicenza,2,2,D,2.2,3.1,3.5,2015,,,,,,,,,,,,,,,
2015-11-14,Modena,Pro Vercelli,1,0,H,1.95,3.1,4.33,2015,,,,,,,,,,,,,,,
2015-11-15,Virtus Lanciano,Crotone,1,1,D,3.0,3.0,2.5,2015,,,,,,,,,,,,,,,
2015-11-15,Spezia,Cagliari,0,3,A,2.8,3.0,2.7,2015,,,,,,,,,,,,,,,
2015-11-15,Salernitana,Novara,1,0,H,3.0,3.0,2.5,2015,,,,,,,,,,,,,,,
2015-11-15,Como,Pescara,0,2,A,3.1,3.1,2.4,2015,,,,,,,,,,,,,,,
2015-11-15,Ternana,Virtus Entella,1,2,A,2.1,3.1,3.75,2015,,,,,,,,,,,,,,,
2015-11-15,Brescia,Trapani,3,0,H,2.1,3.2,3.6,2015,,,,,,,,,,,,,,,
